,Name,Total Enrollment,Free lunch eligible1,Reduced-price lunch eligible1,Directly certified2
0,A. Mario Loiederman Middle,999,424,124,127
1,Albert Einstein High,"1,818",492,153,145
2,Alternative Programs,126,58,2,40
3,Arcola Elementary,748,456,95,159
4,Argyle Middle,"1,024",444,130,131
5,Ashburton Elementary,922,76,24,43
6,Bannockburn Elementary,461,6,2,3
7,Bayard Rustin Elementary,719,167,49,61
8,Beall Elementary,531,122,36,56
9,Bel Pre Elementary,612,303,93,99
10,Bells Mill Elementary,642,53,10,42
11,Belmont Elementary,348,9,8,7
12,Benjamin Banneker Middle,900,341,104,161
13,Bethesda Elementary,665,44,12,20
14,Bethesda-Chevy Chase High,"2,257",179,55,69
15,Beverly Farms Elementary,585,24,10,13
16,Bradley Hills Elementary,566,4,0,3
17,Briggs Chaney Middle,936,317,129,130
18,Brooke Grove Elementary,464,89,24,61
19,Brookhaven Elementary,467,210,92,78
20,Brown Station Elementary,636,319,72,182
21,Burning Tree Elementary,469,21,4,15
22,Burnt Mills Elementary,578,286,78,130
23,Burtonsville Elementary,604,183,75,68
24,Cabin John Middle School,"1,040",55,22,25
25,Candlewood Elementary,387,49,19,25
26,Cannon Road Elementary,412,198,45,97
27,Captain James E. Daly Elementary,618,373,79,175
28,Carderock Springs Elementary,366,4,1,3
29,Carl Sandburg Center,97,38,11,21
30,Cashell Elementary,340,71,15,40
31,Cedar Grove Elementary,418,23,8,12
32,Chevy Chase Elementary,466,63,16,31
33,Clarksburg Elementary,623,73,23,42
34,Clarksburg High,"2,472",486,162,238
35,Clearspring Elementary,588,151,33,122
36,Clopper Mill Elementary,539,282,70,146
37,Cloverly Elementary,511,79,24,33
38,Col. E. Brooke Lee Middle,771,391,95,146
39,Col. Zadok Magruder High,"1,697",411,134,198
40,Cold Spring Elementary,332,‡,‡,3
41,College Gardens Elementary,634,99,22,63
42,Cresthaven Elementary,505,279,61,97
43,Damascus Elementary,362,74,27,28
44,Damascus High,"1,353",150,43,96
45,Darnestown Elementary,323,12,5,5
46,Diamond Elementary,791,41,16,15
47,Dr. Charles R. Drew Elementary,498,200,47,121
48,Dr. Sally K. Ride Elementary,502,215,53,150
49,DuFief Elementary,316,33,7,21
50,Earle B. Wood Middle,994,295,74,112
51,East Silver Spring Elementary,497,193,55,104
52,Eastern Middle School,"1,010",427,80,116
53,Fairland Elementary,592,307,49,200
54,Fallsmead Elementary,564,31,8,14
55,Farmland Elementary,856,43,13,21
56,Fields Road Elementary,487,150,31,88
57,Flora M. Singer Elementary School,683,229,51,77
58,Flower Hill Elementary,458,222,41,113
59,Flower Valley Elementary,499,84,35,49
60,Forest Knolls Elementary,755,182,47,65
61,Forest Oak Middle,950,434,101,197
62,Fox Chapel Elementary,611,227,84,117
63,Francis Scott Key Middle,"1,004",459,114,194
64,Gaithersburg Elementary,865,632,101,251
65,Gaithersburg High,"2,397",810,182,347
66,Gaithersburg Middle,877,307,85,155
67,Galway Elementary,763,356,91,137
68,Garrett Park Elementary,802,83,40,34
69,Georgian Forest Elementary,625,378,90,120
70,Germantown Elementary,324,81,30,43
71,Glen Haven Elementary,511,226,60,70
72,Glenallan Elementary,744,320,99,108
73,Goshen Elementary,571,207,46,96
74,Great Seneca Creek Elementary,594,173,51,110
75,Greencastle Elementary,721,373,105,188
76,Greenwood Elementary,521,36,13,14
77,Hallie Wells Middle School,873,99,43,63
78,Harmony Hills Elementary,745,435,163,151
79,Herbert Hoover Middle,"1,045",32,7,15
80,Highland Elementary,555,321,104,90
81,Highland View Elementary,434,155,33,71
82,Jackson Road Elementary,732,443,101,188
83,James Hubert Blake High,"1,795",470,143,195
84,JoAnn Leleck at Broad Acres Elementary,874,656,108,215
85,John F. Kennedy High,"1,817",683,174,244
86,John H. Poole Middle,390,38,12,16
87,John L Gildner Regional Inst for Children & Adol,112,33,4,31
88,John T. Baker Middle School,830,118,44,71
89,Jones Lane Elementary,442,92,27,36
90,Judith A. Resnik Elementary,602,261,62,161
91,Julius West Middle,"1,382",291,84,140
92,Kemp Mill Elementary,486,352,73,126
93,Kensington Parkwood Elementary,642,31,13,17
94,Kingsview Middle,983,176,53,98
95,Lake Seneca Elementary,510,227,48,149
96,Lakelands Park Middle,"1,200",203,53,98
97,Lakewood Elementary,460,31,3,17
98,Laytonsville Elementary,392,46,15,25
99,Little Bennett Elementary,636,73,31,32
100,Lois P. Rockwell Elementary,452,69,14,45
101,Longview School,61,15,0,8
102,Lucy V. Barnsley Elementary,737,173,47,56
103,Luxmanor Elementary,678,77,29,32
104,Martin Luther King Jr. Middle,764,273,65,162
105,Maryvale Elementary,625,220,48,128
106,MCPS Transitions School,55,11,3,7
107,Meadow Hall Elementary,407,162,45,49
108,Mill Creek Towne Elementary,506,138,41,68
109,Monocacy Elementary,151,21,1,10
110,Montgomery Blair High,"3,223",804,238,270
111,Montgomery Knolls Elementary,469,227,48,87
112,Montgomery Village Middle School,790,422,86,200
113,Neelsville Middle,945,509,114,227
114,New Hampshire Estates Elem,478,357,59,145
115,Newport Mill Middle,702,251,71,67
116,North Bethesda Middle,"1,233",71,25,43
117,North Chevy Chase Elementary,259,43,6,25
118,Northwest High,"2,623",457,128,266
119,Northwood High School,"1,805",661,182,194
120,Oak View Elementary,423,237,59,62
121,Oakland Terrace Elementary,531,124,38,41
122,Olney Elementary,683,83,30,49
123,Paint Branch High,"1,996",506,147,241
124,Parkland Middle,"1,141",419,162,125
