Agency,Department,Name,Address,Location
MCG,DPL,White Oak Library,"11701 New Hampshire Avenue, Silver Spring, MD 20903",
MCG,RSC,Sidney Kramer Upcounty Service ctr.,"12900 Middlebrook Road, Germantown MD",POINT (-77.267914 39.179332)
MCG,DTS,L3 Helpdesk & Office,"7361 Calhoun Plaza,  Rockville, MD 20850",
MCG,CAO/CEX/CC/Courts,OIG/ERP Office,"51 Monroe Street, Rockville, MD 20850",POINT (-90.409668 40.720439)
MCG,FRS,F&RS,"19801 Bealsville Road, Bealsville, MD 20839",
MCG,REC,Damascus Community Recreation Center,"25520 Oak Drive, Damascus, MD 20872",
MCG,REC,Long Brch. Comm. Ctr.,"8700 Piney Branch Rd., Silver Spring, MD",
MCG,DOT,"DOT, Rideon Garage","4935 Nicholson Court #4925,Rockville, MD",POINT (-77.103056 39.045098)
MCG,FRS,F&RS,"8001 Connecticut Avenue, Chevy Chase MD",
MCG,FRS,F&RS,"17921 BROOKE ROAD, SANDY SPRING, MD 20860",
MCG,DOT,Seven Locks Highway Services Bldg B / Lab,"1283 Seven Locks Road, Rockville, MD",POINT (-77.161121 39.065508)
MCG,CAO/CEX/CC/Courts,District Court   (State) (Grey CourtHouse),"27 Court House Square, Rockville, MD",POINT (-74.463812 40.777923)
MCG,CAO/CEX/CC/Courts,Judicial Center - North Tower,"50 Maryland Avenue, Rockville, MD",POINT (-76.489582 38.980081)
MCG,DGS,Archives Warehouse,"8540 Anniversary Drive, Gaithersburg, MD 20877",
MCG,REC,Fairland Rec Center (MPraisner),"14906 Old Columbia Pike, Burtonsville, MD",POINT (-76.940764 39.101353)
MCG,FRS,F&RS,"14401 Connecticut Avenue, Silver Spring, MD 20906",
MCG,DPL,Maggie Nightingale Library,"19633 Fisher Avenue, Poolesville, MD",POINT (-77.41053 39.144381)
MCG,HHS,Upcounty Regional Services Center,"12900 Middlebrook Road, Gaithersburg, MD 20874",POINT (-77.267914 39.179332)
